,screen_name,OriginalAuthor,Type
2034,22MillionVotes,MaritzaArroyoNY,RT
544,22_Adair,funder,RT
3843,24Resist,johnlundin,RT
1496,24hrTVMazi,DanaPerino,RT
2842,24hrTVMazi,GOP,RT
3374,24ibelieve,KaivanShroff,RT
3574,27Oceanview,HouseDemocrats,RT
4496,2AjIHhCtsnqpRzs,Scavino45,RT
1626,2Fierce2Ignore_,ProudResister,RT
634,2RedheadsHere,RandyRainbow,RT
2235,2Skep,jimmy_dore,RT
5316,2The_Max_,2The_Max_,Original
2791,2hearts4life,TimRunsHisMouth,RT
3845,2k66,SlicksTweetz,RT
4813,2marisgrey,AllenWest,RT
1219,2ownlife,B75434425,RT
284,2runtherace,B75434425,RT
5922,2runtherace,2runtherace,Original
5168,3085,FoxNews,RT
4573,315Evelina,_Makada_,RT
5609,350,350,Original
5410,350,350,Original
4094,39WestPress,39WestPress,Original
2898,3DaHardenWay,ajplus,RT
1760,3bc52352a2fa42f,chuckwoolery,RT
4291,3catsandme3,Trumptweets2020,RT
518,3f10c430b2ad4d9,3f10c430b2ad4d9,Original
1589,4.50E+69,GenJohnKelly,RT
2339,400lbs_on_a_bed,TeaPainUSA,RT
828,420mcmimi,RandyRainbow,RT
1316,43SBdotcom,m3mo,RT
2903,444sai,kharyp,RT
5167,44magnoda,BleedingRedDan,RT
2091,45_dianna,MargaretMcgui16,RT
5017,49_br5,onedovealone,RT
4444,4ThePeople7,4ThePeople7,Original
2117,4counting,SaysHummingbird,RT
5661,4everNeverTrump,4everNeverTrump,Original
3326,54poste55,FoxNews,RT
5329,55true4u,55true4u,Original
1285,5628051ade6d427,B75434425,RT
1476,56jakesmom,WhiteHouse,RT
4296,56kbird,TheDailyEdge,RT
3017,575haiku,bellvisuals,RT
1489,57Delmar,sheeple32,RT
5268,57States,clivebushjd,RT
5924,5945USARTR,5945USARTR,Original
6768,5945USARTR,5945USARTR,Original
4165,5A1312EWULFX,MEL2AUSA,RT
744,5Batmen,RandyRainbow,RT
576,5U5ie777,5U5ie777,Original
40,62WalterP,funder,RT
4427,6728FixerUpper,MIGOP,RT
4529,6Tom6,Nonsensicole,RT
208,71lugnut,RedWaveRising,RT
2872,78c02f1c92e444b,KaivanShroff,RT
893,7angel7t,B75434425,RT
4304,808Mich,808Mich,Original
4970,8NRwsOCL8pya9fh,glaad,RT
2345,8v9200,B75434425,RT
2973,9047181311,TrumpsDC,RT
5919,911CORLEBRA777,911CORLEBRA777,Original
421,911pmsAnna,LeahR77,RT
6514,970wfla,970wfla,Original
2464,AARPadvocates,AARPadvocates,Original
1780,ABIGAIL_GRITS,thebradfordfile,RT
1741,AB_Owl,OhNoSheTwitnt,RT
1326,AC360,AC360,Original
5395,AC360,AC360,Original
2326,ACLU,ACLU,Original
6496,ACLU,ACLU,Original
6175,ACLU,ACLU,Original
6163,ACLU,ACLU,Original
5563,ACLU,ACLU,Original
3366,ADKProp,Trumpfan1995,RT
4093,ADeplorable777,kwilli1046,RT
1733,AFCYRs,AFCYRs,Original
5603,AFCYRs,AFCYRs,Original
5715,AFLCIO,AFLCIO,Original
6771,AFTunion,AFTunion,Original
6529,AFTunion,AFTunion,Original
5880,AJDelgado13,AJDelgado13,Original
330,AK20127754,onlytuhinkanti,RT
113,AKAReSister,wokeluisa,RT
5537,AKelly227,AKelly227,Original
2599,ALANDexter2020,NBCNews,RT
5598,ALIPAC,ALIPAC,Original
941,ALsFirearmsBlog,AMErikaNGIRLBOT,RT
5321,AMErikaNGIRLBOT,AMErikaNGIRLBOT,Original
1419,AMccloggan01,REALtrumpbureau,RT
819,AMcwhortor,B75434425,RT
3899,AMotherinUSA,BradleeDean1,RT
5324,ANOMALY1,ANOMALY1,Original
6051,ANOMALY1,ANOMALY1,Original
2283,AOKinOH,B75434425,RT
6519,AORecovery,AORecovery,Original
2024,AOTPRadio,RogueSNRadvisor,RT
6449,APFactCheck,APFactCheck,Original
6100,APFactCheck,APFactCheck,Original
5894,APFactCheck,APFactCheck,Original
6692,APFactCheck,APFactCheck,Original
3026,APOFAM,APOFAM,Original
974,APPROVEMAN,wokeluisa,RT
3489,ARealPrincesa,RyanAFournier,RT
1827,ARobertsusmc,VP,RT
6354,ASK_des,ASK_des,Original
6158,ASlavitt,ASlavitt,Original
4218,ATH1024,jimlibertarian,RT
4938,AZMorgan4,MadBroadcasting,RT
1126,AZ_Beverly,IndivisibleTeam,RT
3083,AZealousVoice,RemedyPodcast,RT
2065,Ab4nd0nShip,Ab4nd0nShip,Original
1830,AbeA04489381,BillOReilly,RT
6699,AbooTuraab320,AbooTuraab320,Original
1190,AboveTheBurgh,AMErikaNGIRLBOT,RT
1771,AcademicAgent,RealSaavedra,RT
2238,Acho_Wendy,Acho_Wendy,Original
2921,ActualBryden,westland_will,RT
6308,AdamSchiffCA,AdamSchiffCA,Original
3052,Adam_Taxin,Adam_Taxin,Original
4877,Adamsbomb,BleedingRedDan,RT
2077,AddieWoolf,SaysHummingbird,RT
4719,AdeleBatchelder,Alyssa_Milano,RT
1195,Aerialisto,Aerialisto,Original
1946,Aethonaia,Aethonaia,Original
4308,Aethonaia,Aethonaia,Original
3947,AhsokaBendu413,JeremyJahns,RT
1082,Aikens_Josh,Aikens_Josh,Original
1753,AikoB73,ProgressPolls,RT
2732,AikoB73,WhiteHouse,RT
3995,AimHighMC130E,AimHighMC130E,Original
3639,AkhavanKayvan,NewsHour,RT
3338,Akita4two1,AdamSchiffCA,RT
1,Akita4two1,MillenPolitics,RT
969,AkrosBooks,RepSwalwell,RT
4118,Al5linx,FoxNewsResearch,RT
5749,AlGiordano,AlGiordano,Original
6410,AlGiordano,AlGiordano,Original
5469,AlGiordano,AlGiordano,Original
2322,Al_Czarnecki,Al_Czarnecki,Original
5950,AlanGrayson,AlanGrayson,Original
6294,AlanTheWriter,AlanTheWriter,Original
5239,Alaskan3401,clivebushjd,RT
4421,Albeiro60442943,omarbula,RT
1594,AlbertGron20,TomiLahren,RT
1276,AlexGar09382433,55true4u,RT
2248,AlexHouseThomas,AlexHouseThomas,Original
1137,AlexLondonUK,B75434425,RT
5182,AlexisJohnson25,AlexisJohnson25,Original
6539,Ali_H_Soufan,Ali_H_Soufan,Original
866,AliasHere,B75434425,RT
13,AliceCAKANicki2,Golfinggary522,RT
3161,AliceW2017,RyanAFournier,RT
3994,AliciaBeck20,LRBitisnot,RT
2806,AliciaTolbert,Trey_VonDinkis,RT
642,Alisa74752156,elenochle,RT
3964,AlisonTheiss2,EdKrassen,RT
2096,AllIn4DJT,WhiteHouse,RT
526,AllWayzOnMyGriz,wokeluisa,RT
707,Allayjah,CongressmanRaja,RT
6725,AllenWest,AllenWest,Original
2716,AlleyCat_Allie,tedlieu,RT
2629,Alleygarcia3,On_The_Hook,RT
4245,AllisonWeihe,The_UnSilent_,RT
3971,Alonsocolombia3,GIJoeOPS,RT
539,AlpacaLibby,LeahR77,RT
1867,Alpacalady13,NBCNews,RT
2402,AlphaBarbieSays,AlphaBarbieSays,Original
31,Alpha_Lady1,sdutIdeas,RT
5773,Alt_FedEmployee,Alt_FedEmployee,Original
5505,Alt_FedEmployee,Alt_FedEmployee,Original
5452,Alyssa_Milano,Alyssa_Milano,Original
6094,Alyssa_Milano,Alyssa_Milano,Original
6250,Alyssa_Milano,Alyssa_Milano,Original
5524,Alyssa_Milano,Alyssa_Milano,Original
5351,Alyssa_Milano,Alyssa_Milano,Original
2453,AmandaAuble,AmandaAuble,Original
6231,AmandiOnAir,AmandiOnAir,Original
6480,AmbJohnBolton,AmbJohnBolton,Original
15,AmberlynnFritts,AMErikaNGIRLBOT,RT
2350,Ameliebaron,elodiecuzin,RT
1150,AmerPride777,B75434425,RT
387,America1NoDACA,CindyGBurdorf,RT
617,AmericaIsGrea10,SenGillibrand,RT
3279,America_USA_1st,DonnaWR8,RT
5426,AmericanHotLips,AmericanHotLips,Original
6244,AmericanHotLips,AmericanHotLips,Original
6147,AmericanLuvSong,AmericanLuvSong,Original
5336,AmericanLuvSong,AmericanLuvSong,Original
5490,AmericanLuvSong,AmericanLuvSong,Original
835,AmericanLuvSong,AmericanLuvSong,Original
5349,AmericanLuvSong,AmericanLuvSong,Original
4262,AmericanVoterUS,kwilli1046,RT
1664,Americanmike2,KatTheHammer1,RT
4121,Americanmike2,NIVIsa4031,RT
5497,AmericansRiseUp,AmericansRiseUp,Original
1636,AmeshiaCross,TheRevAl,RT
3817,AmiDdeKid,The_Trump_Train,RT
1785,Amirisverywrong,Amirisverywrong,Original
3263,Amplitude350Lee,tedlieu,RT
1681,AmuckChuck,FoxNews,RT
2043,AmyGreggthatsme,B75434425,RT
1494,AmyMcCartney4,funder,RT
5657,AmyMek,AmyMek,Original
4038,AmyRRawlings,DrMartyFox,RT
4650,AmySandspeaks,tedlieu,RT
5197,Amy_VADC,FrankLuntz,RT
3006,Amyloukingery,Amyloukingery,Original
5124,AnarcCapitalist,KelemenCari,RT
1075,AndStrats,dolphinfish55,RT
939,Andreatellsall,B75434425,RT
1257,AndrewFWhite22,AMErikaNGIRLBOT,RT
3067,AndrewGuindon,AndrewGuindon,Original
3802,Andrew__Caruana,RobertBluey,RT
3722,Andros_le_wuff,goldengateblond,RT
4367,AndyBrookins22,WhiteHouse,RT
76,AndyLeheny,wokeluisa,RT
3747,AndyQashou,SenSchumer,RT
3452,AndybingAnd,PatrioticCindy,RT
4207,AngelNapoles4,WhiteHouse,RT
1372,AngelaBaylan,bellvisuals,RT
4761,AngelaDouble07,BleedingRedDan,RT
2800,AngelandRick,The_UnSilent_,RT
19,Angelmimiromy,RedWaveRising,RT
1969,AngeloAlvarez18,TomiLahren,RT
2615,AnilNS425,LeahR77,RT
1452,AnjiUsa,Sen_JoeManchin,RT
5306,AnnDuffClemens,ClintonM614,RT
5298,AnnHuntNotabot,MTKHorses,RT
3701,Ann_B_Barber,VP,RT
5529,Ann__Kelly,Ann__Kelly,Original
1598,AnnaHoa03245441,_Makada_,RT
2016,AnnaMoras,jimmy_dore,RT
3820,AnneMarieFlynn2,RepBarbaraLee,RT
1500,Anne_Nissell,TeaPainUSA,RT
1399,Annsimp71734668,MAGAPILL,RT
4627,AnthonyHillar,STForeignDesk,RT
625,AnthonyHopeNYC,lesleyabravanel,RT
5303,AntonioMolinaD,WhiteHouse,RT
4143,AppSame,BleedingRedDan,RT
6375,AppSame,AppSame,Original
2626,Arbiter4D,Arbiter4D,Original
292,AreYouAfro,wokeluisa,RT
852,ArgentinaPatito,wokeluisa,RT
6450,ArizonaKayte,ArizonaKayte,Original
2998,ArizonaKayte,ConservaMomUSA,RT
1619,Arkydiva,Arkydiva,Original
640,ArmyBrotherhood,DrJaneRuby,RT
588,ArmyVet24yrs,WhiteHouse,RT
562,Arriadna,ProudResister,RT
5439,ArthritisFdn,ArthritisFdn,Original
4998,Arthur111,FoxNews,RT
6002,ArthurSchwartz,ArthurSchwartz,Original
4915,ArturoV64523850,ClintonM614,RT
938,Artzthings,JanettheIntern,RT
1776,ArwannaSaylor,BlueSea1964,RT
3576,Ascadian1776,junogsp5,RT
4357,Aschettino,tedlieu,RT
1814,AshleyB53877160,_Makada_,RT
5812,AshleyBC137,AshleyBC137,Original
6810,AshleyJudd,AshleyJudd,Original
3672,AshleySFerrell,The_UnSilent_,RT
6332,Ashley_Coleman1,Ashley_Coleman1,Original
3449,AskedEtAnswered,AskedEtAnswered,Original
2022,Aslans_Girl,Aslans_Girl,Original
830,Assyriangirll,ChooseToBFree,RT
3090,Astevens1Larry,FeistyCovfefe,RT
796,AtlantaObserver,AtlantaObserver,Original
6641,AtomicAnalyst,AtomicAnalyst,Original
1536,Auburngirlx,Scavino45,RT
4632,AudioBookByMike,tedlieu,RT
1031,AudreyAkaye,AMErikaNGIRLBOT,RT
3752,AuntieSocial2,ChrisMedic025,RT
3738,Aurona47,MsMagazine,RT
2552,Aus_RichAlex,JoyAnnReid,RT
1640,AustinKellerman,AustinKellerman,Original
5206,Autoharper,gal_deplorable,RT
807,AutumnNAlston,wokeluisa,RT
1092,Avenger2Toxic,GeorgWebb,RT
6798,Avery1776,Avery1776,Original
820,Awaken_Patriots,B75434425,RT
471,AwataeFreuchie,AwataeFreuchie,Original
5613,AynRandPaulRyan,AynRandPaulRyan,Original
5769,B75434425,B75434425,Original
5901,B75434425,B75434425,Original
5315,B75434425,B75434425,Original
5234,BANANAMAGA,tedlieu,RT
3494,BBallinger6,EricTrump,RT
2384,BCCMMC3,ExDemLatina,RT
4948,BCD_76,BCD_76,Original
5455,BCDreyer,BCDreyer,Original
3000,BEASTEAL,OfficeOfMike,RT
1667,BEdeal45,Scaramucci,RT
431,BHowsmon,SenWarren,RT
4001,BJaniece,alaskantexanQCT,RT
1651,BKactual,BKactual,Original
4105,BLEUGLACIERICK,eugenegu,RT
557,BMC1901,1Jedi_Rey,RT
300,BMoreAuthentic,wokeluisa,RT
2927,BOT_TOBY1,kingchuck810,RT
335,BOT_TOBY1,Obamaisnuts,RT
4169,BSeprodi,SecretaryCarson,RT
5138,BULLOMETER,KelemenCari,RT
5118,BULLSHITOMETER1,RyanAFournier,RT
1938,BURKE11530,Hoosiers1986,RT
5313,BWDR,BWDR,Original
1032,BaayanBakari,funder,RT
6326,BadJohnBrown,BadJohnBrown,Original
5929,Bad_Girl_Bex,Bad_Girl_Bex,Original
1555,BagatorBryant,bellvisuals,RT
2655,BaileySam,grantstern,RT
151,BainMarkwell,AmericanLuvSong,RT
1593,Bajangal28,Bajangal28,Original
3806,Balind8,RealSaavedra,RT
3824,BallybunionBog,TheTrumpLady,RT
4237,BamaStephen,eangelina64,RT
5955,BamaThinker3,BamaThinker3,Original
5651,BanditRandom,BanditRandom,Original
6813,Bantibro,Bantibro,Original
4424,BarbIllinois10,Trumptweets2020,RT
4710,BarbLovesHawaii,tedlieu,RT
6223,BarbMuenchen,BarbMuenchen,Original
2659,BarbPrefontain1,joncoopertweets,RT
4278,Barbara2011a,cspan,RT
2950,Barbara77051620,DonnaWR8,RT
1939,BarbaraBroulli1,newtgingrich,RT
4735,BarbaraJensen1,WhiteHouse,RT
252,BarbieHitsBack,PinkBelgium,RT
1732,Barryhallphd,Marmel,RT
5080,Barryhallphd,jefftiedrich,RT
6695,BarstoolNewsN,BarstoolNewsN,Original
6611,BasedMonitored,BasedMonitored,Original
2305,BasedRob05,BasedRob05,Original
5152,BasedStickPanda,FoxNews,RT
4955,BasedTrumpProud,SiddonsDan,RT
3819,BatesNeime,FoxNews,RT
2718,BatmanGothamUSA,SonofLiberty357,RT
3268,Battlerattle,WAGOP,RT
2304,BaumanKym,MarkWarner,RT
2944,Bazzio101,ajplus,RT
358,BbonesScott,jordie_ray,RT
922,Bdragon1984,RavenRantz,RT
4476,BeachyKate69,MEL2AUSA,RT
3814,Bead86Horace,RichardTrumka,RT
334,BeadingfanNancy,Marmel,RT
4284,BeansPorkn,realvicentefox,RT
2528,Beantari,TeaPainUSA,RT
865,BearBones5,B75434425,RT
1481,Bear_hugzzz,GOPLeader,RT
4777,BeardsOnParade,The_UnSilent_,RT
1421,BebeLuxHP,SenGillibrand,RT
4745,Becca2631,KelemenCari,RT
4900,Beck_Wilson,RonWyden,RT
4923,BeingSentinel,ClintonM614,RT
4591,BellaArlene213,ClintonM614,RT
2593,BenCKinney,ChuckWendig,RT
4375,BenHedlund,michaeljknowles,RT
717,BendettiNeila,RepSwalwell,RT
4117,BenjieTheMan,BenjieTheMan,Original
5861,BerniceKing,BerniceKing,Original
3395,BernieFireball,BadJohnBrown,RT
6154,BernieUpstateNY,BernieUpstateNY,Original
2546,BetGranger,JoyAnnReid,RT
1379,BetancourtNy,funder,RT
2241,BethanyJuno,Hoosiers1986,RT
2116,BetsieFl,JoyAnnReid,RT
5018,Betsy89360657,AFTunion,RT
6339,BetteMidler,BetteMidler,Original
620,BettieRose100,AlGiordano,RT
1512,BettyFellows,JoyAnnReid,RT
2743,BettyMc45311705,ClintonM614,RT
4701,BevAzevedo,funder,RT
3398,Beverly99139999,ConservaMomUSA,RT
1844,BeverlyConserv1,tgregg1963,RT
704,BeverlyG2,AMErikaNGIRLBOT,RT
1449,BfBfoxyone,Harlan,RT
848,Bibliophile1602,B75434425,RT
5496,BigAerosmithFan,BigAerosmithFan,Original
3201,BigDave74Tex,SBALinda,RT
3943,BigDazBut,ACLU,RT
5689,BigRadMachine,BigRadMachine,Original
2303,Bigcat1958,R1ck79,RT
4972,Bijay4849,Ramkish82497434,RT
3872,BillCanoJr2,GOPChairwoman,RT
3770,BillEagle1951,FoxNews,RT
5780,BillOReilly,BillOReilly,Original
2612,Billright50,SandraTXAS,RT
4410,BillyBeall1Dtr,RealMattCouch,RT
780,Billyprops,Billyprops,Original
2721,BiloHak,BiloHak,Original
5092,BippityDooDah,BippityDooDah,Original
4956,BissetteDarren,BissetteDarren,Original
4071,BitterDickery,RonWyden,RT
459,Bitterville33,HuevosDeChivo,RT
5179,BjBadger2wisky,ericbolling,RT
2653,BjBadger2wisky,BjBadger2wisky,Original
4346,BlairAllen,alaskantexanQCT,RT
3223,BlairAllen,RyanAFournier,RT
2983,BlakeJackson42,JeremyJahns,RT
4126,Blakenburg8,Nigel_Farage,RT
2825,Blaze_88,TheRoot,RT
6423,BldyMry,BldyMry,Original
5631,BleedingRedDan,BleedingRedDan,Original
6535,BleedingRedDan,BleedingRedDan,Original
6309,BleedingRedDan,BleedingRedDan,Original
5359,BleedingRedDan,BleedingRedDan,Original
3973,BlondeMimi3,FoxNews,RT
5910,BlueSea1964,BlueSea1964,Original
5679,BlueSea1964,BlueSea1964,Original
1784,BlueVindication,funder,RT
5889,Bluebird21,Bluebird21,Original
343,Bmw2163Heart,GET4208,RT
1067,Boas72,funder,RT
3165,Bob22912417,TheTrumpLady,RT
1111,BobHosfbd,mcspocky,RT
2447,BobNotTom,KatTheHammer1,RT
4747,BobPelc,PolitiFact,RT
2930,BobScouler1,shawgerald4,RT
2325,BobSmith4152,BobSmith4152,Original
6382,BobbyScott,BobbyScott,Original
3541,BobetteLiebman,junogsp5,RT
3871,Bobmurfy,OfficeOfMike,RT
5140,BoboMarilyn,MichaelCPB1,RT
2735,BoboMarilyn,Hoosiers1986,RT
1514,BolickCarl,TomiLahren,RT
4305,BollmerJason,WhiteHouse,RT
3531,BondMaga,FoxNews,RT
2293,BonewaldatFox,Bluebird21,RT
1130,Bonniescott1964,RepSwalwell,RT
986,BonoWoodworth,RoseAnnDeMoro,RT
3610,Book_dragonz,eugenegu,RT
4561,BookwormAudrey,tedlieu,RT
3403,BoriquaGoddess,WhiteHouse,RT
1957,BoriquaGoddess,WhiteHouse,RT
4204,BorraezC,BorraezC,Original
6457,BostonGlobe,BostonGlobe,Original
982,BostonReporter,BostonReporter,Original
2246,Bot_FanFic,rp4america1st,RT
2710,BothwellJeremy,DonnaWR8,RT
3448,BracketvilleUSA,The_UnSilent_,RT
1656,BradEEB,morningmoneyben,RT
6486,BradleeDean1,BradleeDean1,Original
2739,BradleyBenjam,PoliceFirstNow,RT
6493,Bradybuzz,Bradybuzz,Original
2833,BrandonJLandry,DonnaWR8,RT
5369,Brasilmagic,Brasilmagic,Original
4809,Bravo20Delta,IvankaTrump,RT
5710,Breaking911,Breaking911,Original
811,Brecon_Gwyllt,ProudResister,RT
1562,BrendaJBow,Pink_About_it,RT
1178,BrendaKerr11,RandyRainbow,RT
1271,Brenny1097,AMErikaNGIRLBOT,RT
1335,BrentsNikki,Microsingular,RT
5412,BretBaier,BretBaier,Original
508,Brian67971852,AMErikaNGIRLBOT,RT
2860,BrianCraigShow,FoxNews,RT
186,BrianDees,AMErikaNGIRLBOT,RT
3207,BrianM30250775,ChristiChat,RT
574,BrianMart9,AMErikaNGIRLBOT,RT
2451,BrianMurray5,BrianMurray5,Original
512,BrianPFarmer,RandyRainbow,RT
2229,Brian_Bokenyi,Brian_Bokenyi,Original
6701,Brian_missions,Brian_missions,Original
277,Bridget20917878,B75434425,RT
2052,BriereBear,BriereBear,Original
4602,Briteeye777,KelemenCari,RT
3855,BrodyLevesque,BrodyLevesque,Original
2783,Bronco_7777,1776Stonewall,RT
4209,Bronco_7777,BasedMonitored,RT
6003,BrookingsInst,BrookingsInst,Original
1520,Brooklynhasid,WhiteHouse,RT
5599,Bros4America,Bros4America,Original
5895,BruceBourgoine,BruceBourgoine,Original
1516,BruceHagen,Harlan,RT
2933,Bruins_Fatalist,The_UnSilent_,RT
271,BryanK85970672,BleedingRedDan,RT
1627,BucknerFam,indyfromspace,RT
3062,Bule_Chan,ajplus,RT
4734,BulixsterZFR_py,Tokerwaredotcom,RT
2712,Bummie62,dbongino,RT
4583,Butterballchic3,KelemenCari,RT
2379,ByeByeObama1,ByeByeObama1,Original
5665,ByeByeObama1,ByeByeObama1,Original
837,ByroadsChelsie,B75434425,RT
2573,CAROLseamstress,grindingdude,RT
6608,CASE103060,CASE103060,Original
5612,CBSEveningNews,CBSEveningNews,Original
5992,CBSNews,CBSNews,Original
6238,CBSNews,CBSNews,Original
5918,CBSNews,CBSNews,Original
2413,CBSNewsPress,CBSNews,RT
3502,CCknight803,OfficeOfMike,RT
1602,CDcovfefe,TeaPainUSA,RT
4014,CDrac,tedlieu,RT
1396,CEldjr,Sen_JoeManchin,RT
4560,CGravelle12,SBALinda,RT
757,CJC28756315,AmericanLuvSong,RT
3839,CLManussier,CathyMyersWI,RT
1009,CLManussier,CLManussier,Original
2316,CLandonCole,CLandonCole,Original
6040,CNN,CNN,Original
6034,CNN,CNN,Original
6365,CNN,CNN,Original
5413,CNN,CNN,Original
5900,CNN,CNN,Original
657,CNNISISFAKENEWS,JrcheneyJohn,RT
1325,CNNnewsroom,CNNnewsroom,Original
5519,CREDOMobile,CREDOMobile,Original
6230,CRTV,CRTV,Original
4282,CSGIDHOTMAILCOM,ericbolling,RT
3710,CTGOP,CTGOP,Original
465,CT_PWS,TheRoyalPosts,RT
320,CTacjr,putinsclown,RT
4697,CUFarley8,CUFarley8,Original
265,CUPagansParty,riotwomennn,RT
3730,CadetStrand,CadetStrand,Original
1548,Cajsa,Cajsa,Original
3361,Cajun504Girl,Franklin_Graham,RT
4260,CalebPetrin,tedlieu,RT
3527,CalebReynolds69,dbongino,RT
2761,Calijewles,RyanAFournier,RT
1337,Calimerog11,B75434425,RT
4971,CallyAnderson3,DrMartyFox,RT
4418,CanUHandleItBud,CanUHandleItBud,Original
3307,CanadianPoli86,JesseKellyDC,RT
5016,Cantusinmas,Cantusinmas,Original
326,Canuck4466,RealNewsLine,RT
3356,Capitalics,Capitalics,Original
3070,CaptNolte,LouDobbs,RT
184,Carl834,IronStache,RT
3492,CarlCLBInsure1,wattsjim,RT
4268,CarlDay54877243,JohnRLottJr,RT
2209,CarlaMoulton3,JoyAnnReid,RT
4249,CarlitX,Nonsensicole,RT
2409,CarlosRuz_F,CarlosRuz_F,Original
6414,CarltonAbner,CarltonAbner,Original
1470,CarlyJA22,funder,RT
5153,CarmenCammarat2,KelemenCari,RT
3420,CarmenCammarat2,GOP,RT
2005,CarmenRock4,WhiteHouse,RT
6672,CarmineZozzora,CarmineZozzora,Original
1239,CarolAnnLemon1,AMErikaNGIRLBOT,RT
2794,CarolCzarkowski,WhiteHouse,RT
1789,CarolOstriwski,VP,RT
3736,CarolYBenson,The_UnSilent_,RT
3808,CarolinaDeb88,KaivanShroff,RT
1119,CarrieMBurke,RandyRainbow,RT
5945,CartoonPres,CartoonPres,Original
1840,Carver926,Imperator_Rex3,RT
1208,Carynpenn,AMErikaNGIRLBOT,RT
1152,CaseyGOtis1,B75434425,RT
975,Catchliketate,Josh_Insights,RT
755,Catheri71000729,AmericanLuvSong,RT
6461,CathyMyersWI,CathyMyersWI,Original
3318,CathyNolley,lizpeek,RT
1336,CathyOlson22,WhipHoyer,RT
2445,CatoEvents,CatoInstitute,RT
5923,CatoInstitute,CatoInstitute,Original
4434,CatonConrad,tedlieu,RT
1134,CatriantChris,RepSwalwell,RT
4386,CelesteUSAproud,MEL2AUSA,RT
2697,CelinaNavarro17,WhiteHouse,RT
2291,CeloniKala,CeloniKala,Original
3217,Certifiable,NewsHour,RT
4399,Cesare9950,elizabethforma,RT
4134,Chacho1214,MEL2AUSA,RT
3663,Chairmnoomowmow,Chairmnoomowmow,Original
3910,ChanceJerry,RepMattGaetz,RT
5393,ChapulinColoRed,ChapulinColoRed,Original
5547,ChapulinColoRed,ChapulinColoRed,Original
171,ChapulinColoRed,ChapulinColoRed,Original
660,Charlie05460731,StockMonsterVIP,RT
1180,Chas_54865,WhiteHouse,RT
3183,ChaseBu34460790,KTHopkins,RT
4847,Chase_H_Patrick,samsanders,RT
4411,ChefAlly_,eugenegu,RT
4794,ChefJennaMc,SiddonsDan,RT
4325,ChefSamM,RonWyden,RT
2968,ChelieFFS,funder,RT
2868,ChepsOrtiz,ajplus,RT
218,CherieF1111,B75434425,RT
5011,CherishedSolace,ColumbiaBugle,RT
2118,CherylAndrews59,WhiteHouse,RT
1387,CherylC2017,MarkWarner,RT
3315,CherylP07127196,Trumperland,RT
314,CherylSoccerMom,CherylSoccerMom,Original
6275,ChewGirliechew,ChewGirliechew,Original
984,ChibiLex,ChibiLex,Original
5397,ChibiLex,ChibiLex,Original
6621,Chicago1Ray,Chicago1Ray,Original
462,ChildDefender,ChildDefender,Original
3988,Chimichanga1928,AORecovery,RT
2545,Chiso_dela_Cruz,Chiso_dela_Cruz,Original
4189,ChitownDanny,CrisAlexJimenez,RT
5499,ChooseToBFree,ChooseToBFree,Original
6225,ChooseToBFree,ChooseToBFree,Original
6501,ChooseToBFree,ChooseToBFree,Original
2913,Chr1sle1ner,GOP,RT
4862,Chris0u24,SpeakerRyan,RT
3394,ChrisCopywriter,ChrisCopywriter,Original
