image_id,image_url,post,no_likes,no_comments,image_labels,image_text,web_entities
10,https://instagram.fftw1-1.fna.fbcdn.net/vp/7e886145305a17167fca7b527282107a/5B29EACA/t51.2885-15/e35/25025173_145749976140295_8781354313650798592_n.jpg,"“I was late to the delivery room when she was born. But as soon as I walked in, her eyes started tracking me. Like she knew I was her Dad. Even the nurses were laughing about it. She’s always been my road dog. She never went through a ‘teenage phase.’ She never stopped wanting to spend time with me. We could always talk about the problems she was having at school. Even as she got older, we’d still go to the park on Saturdays or find some exotic place to eat in Brooklyn. It’s a little tough now that she’s away at college. I miss spending time with her. But I trust her completely and I want her to enjoy these years. I just hope that when she falls in love with some dude, I’ll still get to see her.”",416.8k,"5,210",snapshot fashion jeans socialite product girl street jacket,,Brandon Stanton New York City Humans of New York: Stories Humans of New York Instagram Child Photography Facebook Father Smile
13,https://instagram.fftw1-1.fna.fbcdn.net/vp/44ebde02c0464b586708646230bf2496/5B17C578/t51.2885-15/e35/25012208_1960686080922609_1167656047045771264_n.jpg,“Saturn is leaving Sagittarius and moving into Capricorn today. Things that may have been otherwise will now become reality. The time for talking and thinking is over. Now is the time to do.”,251.5k,"9,704",face purple eyebrow nose head eye hair coloring girl human organ,,Sydney Opera House City of Sydney Jørn Utzon Humans of New York Humans of New York Art concert hall Sydney Theatre Company Stage Humans of New York
16,https://instagram.fftw1-1.fna.fbcdn.net/vp/77e5d20d3e7cbf1be891f14515dc44e0/5B47DC55/t51.2885-15/e35/25012212_180106242729014_3190865580840189952_n.jpg,"“A really bad divorce triggered the first and only manic episode of my life. It was my body’s attempt to avoid feeling any pain. I was sleeping three hours a night and doing handstands in the morning. I did a whole lot of writing. I’m a contractor-- so I taught myself all sorts of plastering techniques and developed an entire series of finishes. I worked as a carpenter for twelve hours every day. Eventually I pushed myself to the point where I injured my shoulder, and the doctor told me that I couldn’t work anymore. It forced me to slow down, confront the illness, and make friends with that part of myself. Now I’m on a mood stabilizer. I’m not operating in a triggered state anymore. And I’m back to work, but this time with a team of people to help me carry the load.”",193.2k,851,drink coffee cup cup,,Coffee Mania Bipolar disorder Humans of New York Photography Photographer Hypomania Mood Mood disorder Feeling
17,https://instagram.fftw1-1.fna.fbcdn.net/vp/094e2e7ae7a24a2dd219bc7bc3836176/5B1B04E9/t51.2885-15/e35/25013248_132727894064802_8914556037072158720_n.jpg,"“I'm still having trouble even saying the word 'divorce.' I had always planned on only being married once. And now I’m not. I’m getting older now, and I always wanted to be a Mom-- but I’m not. And that’s really hard. The house feels so empty. It still looks like two people live in it. I’m clocking my progress by the moments I’m not crying. And as long as I don’t think about any of these things-- I’m fine. My career is going great. I can choose to not think about it. But I’ve got to. I’ve got to ask myself: ‘What happens if he never apologizes?’ , ‘Will I be fine if he never make amends?’ I’d rather not think about this stuff because it hurts. But I know it’s the only way to move on. I can either think through it now, or I can carry it with me forever.”",139.8k,"1,573",hand finger nail ring arm thumb jewellery holding hands hand model wrist,,Divorce Hand Marriage Boyfriend Nail Hand model Child Woman Thumb Image
23,https://instagram.fftw1-1.fna.fbcdn.net/vp/5ccd0bf2d01ef6e8ecab58581e3cc4d9/5B300E03/t51.2885-15/e35/25006662_136494427013250_5530159938543812608_n.jpg,"“My husband had a sudden heart attack a few months ago. It was just a few blocks from here. They called me in to identify his body and then just let me walk right out onto 7th Avenue. I felt so lost. My friends were wonderful and supportive but eventually everyone moves on with their lives. I don’t have children. And I’m not a workaholic. So I was left with this intense loneliness and void. I couldn’t eat. I couldn’t sleep. Then one day I started researching dogs that are good for grief and depression. And ‘poodle’ kept popping up. But when I went to the rescue fair, all the poodles were gone. There was this one old dog in the back that nobody was looking at. She was skin and bones. She was trembling and scared and mucus was running out of her eyes. She seemed so fragile. She reminded me of myself. I named her Grace because I think my husband sent her to me. She’s my first dog. She’s been pure joy. We spend all our time together. She’s gained her weight back. She comes with me to therapy. We’re getting better together.”",695.9k,20.5k,road mammal dog street vertebrate infrastructure dog like mammal snapshot girl sitting,,New York City Humans of New York: The Series Humans of New York Husband Woman Adoption Female Child Man Sister
28,https://instagram.fftw1-1.fna.fbcdn.net/vp/00cbab69c75e5d9f5aceb46adc465618/5B27E273/t51.2885-15/e35/24839105_1693337520718034_1577355614521131008_n.jpg,"“I grew up on a reservation because my father was Cherokee. The only thing he believed in was destroying things. When I was five years old, he sat me down on the couch and said: ‘You’re going to become a man the same way I did.’ First he made me smoke a Camel unfiltered cigarette. Then he gave me a shot of ‘corn stalk hooch.’ It’s liquor made from the silky stuff at the top of corn. Most adults can’t handle it, let alone a kid. It took me a whole day to finish. Every time I threw it up, he’d pour another one. My mistake was that I kept trying to smoke the cigarette first. You’ve got to drink the liquor first so it numbs your throat.”",119.5k,"1,885",road sitting footwear infrastructure street snapshot standing shoe girl vehicle,,Image Photograph Photography Humans of New York Person Camel Travel photography Shoe Man Ethical egoism
36,https://instagram.fftw1-1.fna.fbcdn.net/vp/b3d162fd8ee11f6257748211d3896f06/5B481B4F/t51.2885-15/e35/24124998_184111622143904_5304607016575041536_n.jpg,"“I moved to Havana after September 11th. I opened up the first English language bookstore. It’s been great, but living there has been a major challenge to my introversion. When I lived in New York, I could choose to not interact with people. But that’s not really an option in Cuba. Introversion isn’t really ‘a thing.’ If you’re alone, then something must be wrong. Birthdays are the worst. My friends make me have a party every year. I’ve got to have one slice of cake before I’m allowed to go home. And I have this 86-year-old neighbor named Terasita that always assumes I’m lonely and brings me fritters. I resisted at first because I really value my alone time. I’d lock the doors. I’d turn off the lights. But resistance is futile. They’re so persistent.”",215.3k,"2,665",glasses vision care eyewear sunglasses eye tree plant girl smile health & beauty,,Brandon Stanton New York City Social media Instagram Humans of New York Selfie Facebook September 11 attacks Humans of New York Glasses
39,https://instagram.fftw1-1.fna.fbcdn.net/vp/44fccec51161d3fd4e4bbb1086cb215a/5B0FD137/t51.2885-15/e35/24125300_142512063183871_457465298933514240_n.jpg,"“I almost married my high school sweetheart. She was a sharp girl. Very kind. Long brown hair, slim-- the whole package. We moved to California together after graduation. We spent all our time together. We were in love. We even talked about marriage several times. Then one morning she decided she didn’t want to do it anymore. She told me things had changed. It destroyed me. Ever since then, she’s been the one that I’ve always wondered about. I actually saw her a couple years ago. She came to New York for her father’s funeral, and we took a walk in Central Park together. I hadn’t seen her in forty-five years. She looked amazing. Exactly the same as I remembered. She had two kids. She’d gotten married to some guy from Yale. Toward the end of our walk, she told me that if she could do it all over again, she probably would have never married the guy. I said: ‘That breaks my heart, because all these years I imagined you were happy.’ Of course, there might have been a small part of me that was thinking: ‘Haha! You married the wrong guy.’”",287.5k,"3,384",military soldier army fashion accessory headgear fedora military officer hat drill instructor military person,,New York City Love Marriage Emotion Childhood Feeling Self-esteem Child  Humility
0,https://scontent-atl3-1.cdninstagram.com/vp/820af4d845678523e1f0948068df8013/5B28748F/t51.2885-15/e35/1389302_109052009441317_610502324_n.jpg,"“We first met at a café in the West Village, and I was completely taken by her. But the next day I had to leave for a six-week trip to Afghanistan. Soon after I arrived, I bought her a traditional Afghan locket that holds a small prayer. Instead of a prayer, I wrote a little poem, and stuffed it inside. It said: ‘Mountains and months away, and I’m still haunted by one afternoon in New York.’”",271.5k,"7,880",girl fun product recreation vacation family child daughter,,Metropolitan Museum of Art Brandon Stanton West Village Eudora Welty a.café Humans of New York Hunza Valley Afghanistan Photographer Photograph
1,https://scontent-atl3-1.cdninstagram.com/vp/f632e7c747f25d3f182f423f038ddc45/5B4B9A8E/t51.2885-15/e35/11380263_121012464905887_1560169685_n.jpg,"“I used to be 300 lbs. I thought that when I lost all the weight, a light switch would suddenly flip on and I’d be driven and inspired. But the self-judgment just shifted. Sometimes when I’m jogging, I’ll see a woman who is fitter than me, and I’ll think: ‘No matter how much I run, I’ll never look like that.’ It’s the same voice in my head as before. Only difference is now I’m better at telling it to shut the fuck up.”",204.6k,"3,078",photograph glasses vision care pattern standing snapshot plaid girl design outerwear,,Weight loss Humans of New York Weight Slimming World Pound Woman Thought Health Glasses Facebook
2,https://scontent-atl3-1.cdninstagram.com/vp/c516c9391ff7cdf93d264277f5ea36fd/5B163655/t51.2885-15/e35/11254292_1043484112343034_186619925_n.jpg,"“Alopecia is a weird disease to wrap your head around. It causes your immune system to turn against your body, and your hair falls out. I used to have a big blond fro that was a big part of my identity. It was hard to not get depressed when it disappeared. I started to think: ‘What value do I have if even my body doesn’t like itself?’ As I lost more and more hair, I kept trying to comb my remaining hair over my bald spots. Eventually I had to embrace it. On my 20th birthday, I decided that instead of having a bunch of little bald spots that I don’t like, I'm going to give myself one big one that I do like.”",229.7k,"4,538",forehead eye ear electronic device facial hair selfie mobile phone,,Brandon Stanton Hair loss Hair Alopecia areata Disease Immune system Wig Hair transplantation Head Scalp
3,https://scontent-atl3-1.cdninstagram.com/vp/2756bb787885c6d0c9c210572d097865/5B28CBBE/t51.2885-15/e35/11425802_1619622818316165_1888586350_n.jpg,"""I'm taking a break from setting goals.""",154.2k,"2,795",photograph plant man sitting grass tree male fun lawn summer,,New York City Brandon Stanton Humans of New York 휴먼스 오브 뉴욕 You Don't Know What You've Got Till It's Gone Real World Brogan Tumblr Photograph Abortion clinic
4,https://scontent-atl3-1.cdninstagram.com/vp/e7e63fa340c4df553467982e3c142db1/5B313256/t51.2885-15/e35/11380137_1484576505168192_1175772678_n.jpg,"“I grew up very religious, and I was taught to think that people with alternative lifestyles were just ‘confused.’ But now it seems to me that gender and sexuality are so bendable and flexible. I’ve been going to a lot of poetry readings lately, and people present themselves in such raw forms. And they don’t seem confused at all. They are being so honest and transparent in their poetry. How are you supposed to object and say that ‘who they are’ is wrong?”",169.6k,"2,509",shoulder structure sitting standing leg gym exercise machine joint physical fitness exercise equipment,"MADESTA
PPY Ho
BUI
TRE「
 MADESTA PPY Ho BUI TRE 「",New York City Humans of New York History Woman Content marketing SlideShare Child Marketing Exercise machine Shoulder
5,https://scontent-atl3-1.cdninstagram.com/vp/0e36ccd7a92c327f85c7880bb9af6ab3/5B0ED094/t51.2885-15/e35/10261062_950244635031640_872804603_n.jpg,"“I was 16 when my girlfriend got pregnant. We went to the abortion clinic on 59th Street. We filled out the papers and everything. Then right before we were called back, we looked at each other, and said: ‘Let’s get out of here.’”",265.1k,"5,643",electronic device gadget mobile phone technology communication device smartphone product design finger font product,"6:33 PM
68%
April 19
2132 PM
 6:33 PM 68 % April 19 2132 PM",Smartphone Product design Font Finger Text messaging Design Product iPhone
6,https://scontent-atl3-1.cdninstagram.com/vp/4e0df7cbbf36d2356a775b56914b61e1/5B47A472/t51.2885-15/e35/11427303_1621988718041485_1485648815_n.jpg,"“My mom was driving me home from school when I told her that my girlfriend was pregnant. She’s a taxi driver, so we were in her yellow cab. My whole body was hot because I was so nervous. When I finally told her, she pulled over to the side of the road, slapped me across the chest, and said: ‘Don’t ask me for shit anymore! It’s your time to become a man.’”",164.7k,"1,489",suit furniture outerwear jeans blazer formal wear jacket gentleman tuxedo top,,New York City Humans of New York Child Instagram Little Children Song For the First Time Person Blazer Feeling
7,https://scontent-atl3-1.cdninstagram.com/vp/4b74acedc10a3c5933f68adecea99aae/5B2A0AB6/t51.2885-15/e35/11426248_443705449133816_1563126335_n.jpg,"“I used to think I was just ‘go with the flow.’ Now I’m realizing that I can’t make a decision. But mainly just with small stuff. I can be decisive about important things, I think. Maybe.”",140k,"3,746",hair beauty hairstyle girl black hair long hair abdomen photo shoot smile brown hair,,Long hair Hair coloring Beauty Black hair Brown hair Hair Photo shoot Photography Abdomen Black
8,https://scontent-atl3-1.cdninstagram.com/vp/972adf2230ba66520681e2b763c2f810/5B1BB9BB/t51.2885-15/e35/11325251_1466315973685300_1791504089_n.jpg,"“I like to organize clubs. I’ve started three of them. The first one is called the SWANK Club, which stands for Second Wives And No Kids. That one is self-explanatory. After that, I started the ‘M’ Club. That one is all women with names that start with ‘M.’ Right now it’s me, Marilyn, Mary, and Maureen. We meet on Mondays and go to restaurants that start with ‘M.’ Then there’s the Adventure Club. I started that one with my friend Bonnie because she couldn’t be in the SWANK Club or the ‘M’ Club.”",138.1k,"6,096",footwear sitting fashion accessory snapshot car shoulder shoe leg vehicle fashion,"TALY
IS
EATALY
 TALY IS EATALY",Brandon Stanton New York City Humans Quinn Fabray Humans of New York Chelsea Peretti Instagram Social media Image Drag Race
9,https://scontent-atl3-1.cdninstagram.com/vp/524c4f43febb2f337bfecd0112a38114/5B164B16/t51.2885-15/e35/11386417_1607844592831574_853079979_n.jpg,"“I’ve spent my life trying to undo habits—especially habits of thinking. They narrow your interaction with the world. They’re the phrases that come easily to your mind, like: ‘I know what I think,’ or ‘I know what I like,’ or ‘I know what’s going to happen today.’ If you just replace ‘know’ with ‘don’t know,’ then you start to move into the unknown. And that’s where the interesting stuff happens.”",157.8k,"4,319",furniture table bench product,,New York City Cafe Humans of New York Thought Balcony RollingPlanter.com Container garden Habit Glass Building
10,https://scontent-atl3-1.cdninstagram.com/vp/fca648b0b6a816dd64ea44c38dc9b749/5B482DFA/t51.2885-15/e35/11423981_478185889025028_1207170886_n.jpg,"""He sucks his thumb when he sleeps.""",138.4k,"1,064",land vehicle bicycle road bicycle vehicle bicycle accessory sports equipment street mountain bike recreation hybrid bicycle,,Road bicycle Cycling Mountain bike Hybrid bicycle BMX bike Bicycle frame Street BMX Bicycle Road
11,https://scontent-atl3-1.cdninstagram.com/vp/f8617181720b93790bf9264ffbb574a4/5B29DD9B/t51.2885-15/e15/11325207_1866023596956930_916165213_n.jpg,"""I fell in love with the first girl I dated. Then one day she told me: 'If you were a boy, this would be perfect.'""",184.1k,"4,797",eyewear glasses vision care yellow sunglasses hairstyle blond cool product hair coloring,,Brandon Stanton New York City Humans of New York Humans of New York LGBT Facebook Watch Lesbian Gay Homo sapiens Queer
12,https://scontent-atl3-1.cdninstagram.com/vp/7845ec1532a59afebd14d305f3309880/5B310208/t51.2885-15/e15/11249209_806326179487383_1658391758_n.jpg,"“She died three months ago. She seemed to be feeling better, but suddenly she had a couple bad seizures at home and didn’t recover. I don’t know if it was an infection, or if the cancer had gotten to her brain. I wish I had done an autopsy. Because now I’ll never know.”
“Why do you need to know?”
“My psychiatrist asked me the same thing. He said he wanted to give me a pill so I wouldn’t obsess so much over Ellen’s death. I told him I don’t want a pill. I want an answer.”",124k,"1,391",hair senior citizen person chin forehead professional facial hair ear elder beard,,Brandon Stanton Humans of New York Beard Portrait Chin Photography Blog Close-up World Wide Web Neck
13,https://scontent-atl3-1.cdninstagram.com/vp/93807c13d1062ed126e444c11057ac01/5B2C80E6/t51.2885-15/e15/10175239_1661365197411033_1144772173_n.jpg,"“My happiest memory was the first long road trip we took together. We drove to Nova Scotia. There were three of us—Ellen, me, and her son from a previous marriage. Our Volvo broke down and we had to wait three days for parts. It was pouring down rain the whole time, but we found a friendly fisherman who helped us forage for clams and lobster and seaweed. When we were lying in the tent at night, her son said to me: ‘I didn’t like you at first. But I like you now.’”",147.8k,943,person senior citizen chin facial hair forehead glasses beard moustache vision care professional,,Brandon Stanton New York City Humans of New York AB Volvo Male Book Beard Image Editing Chin
14,https://scontent-atl3-1.cdninstagram.com/vp/5ad0b79e7a37a2fa9a262075dfee5545/5B2A9506/t51.2885-15/e15/11375373_924696654235462_1209029546_n.jpg,"“Her mother had breast cancer so she had a mammogram every six months. All of them came back clear. Then one morning a nodule just popped to the surface. We thought our dog had maybe jumped on her and caused a bruise. The doctor didn’t think a malignant tumor could grow that fast, but he did a biopsy anyway. He said he saw a ‘strange shadow.’ It turned out to be metaplastic cancer-- meaning that the cells continually change and it’s almost impossible to treat. The survival rate was something like .05 percent. When I started to read the literature about it, I was crushed. I’m naturally a very cynical and pessimistic person. But I wanted to give her hope, so I did all the research I could. And I ended up giving myself hope as well.”",140.4k,961,blue suit blazer formal wear outerwear jeans standing gentleman electric blue jacket,,Barbara Walters: Her Story United States Mammography Breast cancer Nodule Mother Dog Blazer Breast Denim
15,https://scontent-atl3-1.cdninstagram.com/vp/7acfcd0e6972a52c3298c10477c75a49/5B0EA382/t51.2885-15/e15/11426658_1583579968574200_922117731_n.jpg,"""I'm not trying to get into a deep conversation right now. I'm more paint and less talk.""",139.7k,"1,023",man barechestedness male muscle art chest vacation,,Brandon Stanton Humans of New York New York City Humans of New York: Stories Visual arts Milk crate Artist Crate Humans of New York Art
16,https://scontent-atl3-1.cdninstagram.com/vp/8af1f02dad42fb77c7700b1c1c222ffd/5B4C5DD0/t51.2885-15/e15/11246307_1616037738656381_1096160512_n.jpg,"“I’ve been going through chemo for six months now. Sometimes I’ll come home from the hospital and I won’t even want to look in the mirror. I feel disfigured. I’ll have drains attached to me that he has to help measure and adjust. We’ve been together for a long time. When something like this happens, you find out what you’ve been working for all those years.”",171.6k,"2,811",people photograph green man day standing senior citizen snapshot vehicle male,,Brandon Stanton Love Añover Humans of New York Humans of New York Book Love Instagram Facebook Hospital Happiness
17,https://scontent-atl3-1.cdninstagram.com/vp/34566d12cbc26990380942a67c5c8946/5B2B8F7F/t51.2885-15/e15/10175196_308819985931612_182163386_n.jpg,"""I take secret iPhone photos of awkward situations so I can paint them later.""",155.4k,"3,661",glasses vision care facial expression girl beauty smile lady snapshot black hair eyewear,,iPhone 5 Taurus Aries Astrological sign Zodiac Music The Neighbourhood Glasses Wallpaper Hipster
18,https://scontent-atl3-1.cdninstagram.com/vp/0b204b1bca69ac5939cbe963a9861745/5B10F8C7/t51.2885-15/e15/11420458_1139436656071923_1097230099_n.jpg,"""This is tougher than the Marine Corps.""",205k,"3,789",people road man footwear infrastructure street jeans public space male snapshot,"WHATEVER
TATTOO
THE
TIE
 WHATEVER TATTOO THE TIE",Brandon Stanton Humans of New York Humans of New York February Sam Newcomer Family Sam Newcomer Month  Odyssey
19,https://scontent-atl3-1.cdninstagram.com/vp/56f3e2cca3ea88c7d33659d8eef9d879/5B125475/t51.2885-15/e15/11428190_603829949757919_205356130_n.jpg,Today in microfashion...,199.2k,"1,645",clothing shoulder joint girl textile socialite design child shoe pattern,,Diandra Soares New York City New York Fashion Week It Humans of New York Child Birth Image Art Model
20,https://scontent-atl3-1.cdninstagram.com/vp/bce1864b153c04e4da4de623922ee9f9/5B497888/t51.2885-15/e15/11386476_515009311980941_648501808_n.jpg,"""I was an international relations major. I was thinking about going into government, but the more I learned about bureaucracy, the more I realized I'd be better off just writing political songs.""",163.8k,"2,314",sitting tree girl vehicle recreation,,Esperanza Spalding Politics Humans of New York Iran Guitar Bureaucracy Photoblog Image Instagram President of the United States
21,https://scontent-atl3-1.cdninstagram.com/vp/a452d0fa8836ff306a632a08604b4391/5B18F840/t51.2885-15/e15/1597135_836641803094040_168442668_n.jpg,"""Sometimes we play a game called Bracelets. You put pillows on the ground, sit on them, then play with bracelets.""",173.7k,"5,223",clothing dress girl snapshot pattern design child socialite jeans polka dot,,New York City Humans of New York Massacre at Westgate Mall Pandora Photography Image Charm bracelet Bracelet Child Photographer
22,https://scontent-atl3-1.cdninstagram.com/vp/012c71450f7dfa77276843cd55d52ab3/5B0BC439/t51.2885-15/e15/11241685_1647043318862707_219191489_n.jpg,"“I’m OK now, because we’re speaking in generalities, but if you were to ask me about anything specific, like names or dates, I wouldn’t be able to remember them. My mother had it too. It was ten years of her not knowing who anybody was. And I don’t want to be remembered like that. That’s why I’m sitting here alone. I used to have a lot of friends, but I’ve withdrawn from all of them. Group situations are especially hard because I can’t steer the conversation toward something I can remember. And when I do get stuck, it’s more embarrassing. So I’ve missed weddings. I’ve stopped returning calls. I do have one friend who won’t give up on me. He calls me from Florida. And if I’m trying to tell him about a bridge, he’ll list off every bridge in New York City until I remember the one that I’m trying to talk about.”",185.5k,"5,828",hand arm shoulder finger product,,New York City Humans of New York Alzheimer's disease Facebook Watch Sitting Memory Bench Wish Image Facebook
